Notification;State
79;Rio de Janeiro
79;Rio de Janeiro
89;Rio de Janeiro
91;Rio de Janeiro
90;Rio de Janeiro
121;Rio de Janeiro
113;Rio de Janeiro
121;Rio de Janeiro
94;Rio de Janeiro
75;Rio de Janeiro
75;Rio de Janeiro
94;Rio de Janeiro
68;Rio de Janeiro
65;Rio de Janeiro
80;Rio de Janeiro
75;Rio de Janeiro
117;Rio de Janeiro
143;Rio de Janeiro
145;Rio de Janeiro
138;Rio de Janeiro
102;Rio de Janeiro
104;Rio de Janeiro
77;Rio de Janeiro
57;Rio de Janeiro
66;Rio de Janeiro
78;Rio de Janeiro
89;Rio de Janeiro
86;Rio de Janeiro
116;Rio de Janeiro
114;Rio de Janeiro
51;Rio de Janeiro
69;Rio de Janeiro
95;Rio de Janeiro
87;Rio de Janeiro
74;Rio de Janeiro
69;Rio de Janeiro
79;Rio de Janeiro
80;Rio de Janeiro
79;Rio de Janeiro
83;Rio de Janeiro
88;Rio de Janeiro
80;Rio de Janeiro
84;Rio de Janeiro
85;Rio de Janeiro
94;Rio de Janeiro
96;Rio de Janeiro
111;Rio de Janeiro
96;Rio de Janeiro
78;Rio de Janeiro
114;Rio de Janeiro
116;Rio de Janeiro
121;Rio de Janeiro
84;Rio de Janeiro
108;Rio de Janeiro
87;Rio de Janeiro
98;Rio de Janeiro
101;Rio de Janeiro
71;Rio de Janeiro
70;Rio de Janeiro
95;Rio de Janeiro
82;Rio de Janeiro
87;Rio de Janeiro
101;Rio de Janeiro
98;Rio de Janeiro
83;Rio de Janeiro
111;Rio de Janeiro
95;Rio de Janeiro
81;Rio de Janeiro
88;Rio de Janeiro
80;Rio de Janeiro
65;Rio de Janeiro
116;Minas Gerais
102;Minas Gerais
144;Minas Gerais
151;Minas Gerais
136;Minas Gerais
118;Minas Gerais
132;Minas Gerais
105;Minas Gerais
124;Minas Gerais
130;Minas Gerais
104;Minas Gerais
118;Minas Gerais
139;Minas Gerais
79;Minas Gerais
141;Minas Gerais
118;Minas Gerais
112;Minas Gerais
122;Minas Gerais
104;Minas Gerais
91;Minas Gerais
120;Minas Gerais
121;Minas Gerais
85;Minas Gerais
92;Minas Gerais
100;Minas Gerais
88;Minas Gerais
108;Minas Gerais
94;Minas Gerais
115;Minas Gerais
118;Minas Gerais
114;Minas Gerais
96;Minas Gerais
96;Minas Gerais
108;Minas Gerais
113;Minas Gerais
109;Minas Gerais
116;Minas Gerais
84;Minas Gerais
119;Minas Gerais
86;Minas Gerais
88;Minas Gerais
114;Minas Gerais
120;Minas Gerais
113;Minas Gerais
75;Minas Gerais
95;Minas Gerais
85;Minas Gerais
89;Minas Gerais
83;Minas Gerais
75;Minas Gerais
97;Minas Gerais
78;Minas Gerais
108;Minas Gerais
88;Minas Gerais
115;Minas Gerais
112;Minas Gerais
116;Minas Gerais
124;Minas Gerais
132;Minas Gerais
147;Minas Gerais
116;Minas Gerais
94;Minas Gerais
128;Minas Gerais
105;Minas Gerais
104;Minas Gerais
115;Minas Gerais
98;Minas Gerais
102;Minas Gerais
106;Minas Gerais
